title,type,artist,year,source,source_id,tags,ship_ref,note,url,cover_img,img_note
Ralph McQuarrie,原画,Ralph McQuarrie,1975,wikipedia,Ralph_McQuarrie,概念设计|星球大战|飞船|经典,4,星战概念设计之父：千年隼/X翼/死星的原点，科幻造型范式开创者,https://en.wikipedia.org/wiki/Ralph_McQuarrie,https://upload.wikimedia.org/wikipedia/commons/b/ba/Ralph_McQuarrie.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,维基词条图
Syd Mead,原画,Syd Mead,1982,wikipedia,Syd_Mead,概念设计|银翼杀手|城市|工业设计,3,银翼杀手视觉建筑师：近未来城市+交通工具工业设计标杆,https://en.wikipedia.org/wiki/Syd_Mead,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Syd_Mead_LF.JPG/330px-Syd_Mead_LF.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,维基词条图
Chris Foss,原画,Chris Foss,1972,wikipedia,Chris_Foss,插画|封面艺术|巨舰|经典,4,科幻封面插画大师：巨型飞船涂装风格，一代科幻视觉记忆,https://en.wikipedia.org/wiki/Chris_Foss,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Chris_Foss_-_Utopiales_2014_-_P960138.jpg/330px-Chris_Foss_-_Utopiales_2014_-_P960138.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,维基词条图
John Berkey,原画,John Berkey,1978,wikipedia,John_Berkey,插画|飞船|太空|经典,4,美国飞船插画宗师：写实太空巨舰，NASA 海报风格,https://en.wikipedia.org/wiki/John_Berkey,https://upload.wikimedia.org/wikipedia/en/e/e0/John_Berkey_self_portrait.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,维基词条图
Doug Chiang,原画,Doug Chiang,1999,wikipedia,Doug_Chiang,概念设计|星球大战|机器人|工业,3,星战前传+侠盗一号概念总监：机械细节与东方美学融合,https://en.wikipedia.org/wiki/Doug_Chiang,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Doug_Chiang_by_Gage_Skidmore.jpg/330px-Doug_Chiang_by_Gage_Skidmore.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,维基词条图
Ryan Church,原画,Ryan Church,2000,manual,,概念设计|星球大战|工业|飞船,3,星战前传/变形金刚概念：AT-TE、圣殿等标志设计,https://www.artstation.com/ryanchurch,,
Craig Mullins,原画,Craig Mullins,2000,manual,,概念设计|电影|游戏|数字绘画,2,影视游戏概念绘画先驱：数字油画风格影响一代人,https://www.craig-mullins.com,,
George Hull,原画,George Hull,2015,manual,,概念设计|星球大战|飞船,3,星战原力觉醒概念设计：新秩序歼星舰等,https://www.artstation.com/georgehull,,
Ash Thorp,原画,Ash Thorp,2017,wikipedia,Ash_Thorp,概念设计|银翼杀手2049|赛博朋克|平面,1,银翼杀手2049/攻壳机动队视觉：几何未来主义,https://en.wikipedia.org/wiki/Ash_Thorp,,
Maciej Kuciara,原画,Maciej Kuciara,2017,manual,,概念设计|电影|赛博朋克|教学,1,好莱坞电影概念(美队3/沙丘游戏等)+概念教学社区,https://www.artstation.com/maciej,,
